OTU ID		DF_5_6	HN_4_5	DF_2_5	HN_4_4	DF_4_2	HN_2_3	DF_1_1	LN_7_3	LN_2_2	DF_5_1	HN_3_5	HN_4_6	HN_1_3	HN_3_4	DF_7_5	LN_6_3	HN_1_2	LN_3_4	DF_1_5	LN_6_2	LN_3_1	HN_3_3	HN_6_8	DF_2_1	DF_4_8	HN_6_4	HN_5_3	HN_1_4	LN_1_2	DF_7_1	LN_3_6	LN_5_3	HN_1_7	HN_3_7	DF_4_4	HN_5_5	LN_2_1	LN_5_6	HN_5_2	DF_5_2	DF_6_6	LN_7_2	HN_2_2	DF_7_4	DF_3_6	HN_1_5	LN_5_5	DF_7_8	DF_6_7	LN_2_4	DF_2_7	HN_3_2	HN_4_7	DF_4_5	DF_1_4	DF_5_5	LN_5_7	DF_3_2	DF_5_8	DF_3_1	HN_2_4	DF_2_8	DF_4_3	DF_3_4	DF_6_3	DF_7_6	DF_4_6	DF_6_2	HN_3_6	HN_1_8	DF_2_4	HN_6_3	DF_6_5	LN_5_1	HN_4_1	DF_6_1	LN_1_3	LN_5_4	DF_7_7	DF_5_4	DF_3_8	DF_1_7	HN_1_1	LN_6_4	DF_5_7	DF_7_2	LN_2_3	DF_6_4	DF_1_3	HN_5_6	DF_4_1	HN_4_8	DF_2_3	DF_3_7	DF_6_8	DF_4_7	LN_5_8	HN_5_8	HN_5_4	DF_1_8	LN_1_1	HN_5_7	DF_1_2	LN_3_3	HN_3_8	DF_5_3	HN_6_2	DF_2_6	DF_3_5	HN_6_6	HN_6_5	DF_1_6	HN_6_1	HN_5_1	LN_3_5	DF_2_2	DF_3_3	HN_1_6	HN_4_3	HN_6_7	LN_6_1	LN_4_1	HN_4_2	HN_2_1	LN_3_2	LN_5_2
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum;uncultured archaeon	OTU_164	96	0	7	0	0	0	5	0	3	0	0	0	0	0	7	1	0	1	159	0	54	0	265	43	37	4	1	0	2	5	0	0	1	0	5	0	4	0	1	1	161	0	0	10	61	0	0	10	266	0	9	7	0	27	61	278	0	14	293	29	0	20	1	10	62	14	33	141	0	0	59	6	44	14	2	21	3	0	15	9	31	1571	4	0	197	1	5	77	222	2	0	0	18	2	96	71	0	2	0	103	0	2	22	0	0	114	8	6	39	11	18	28	9	28	0	94	8	0	1	98	2	5	0	0	0	0
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanimicrococcus;uncultured archaeon	OTU_156	45	73	14	52	21	139	221	27	18	48	36	217	66	43	822	17	9	16	93	10	118	64	19	207	272	6	11	65	0	141	1	14	18	149	64	9	13	129	3	61	26	79	228	474	57	7	12	124	125	151	26	180	49	135	216	430	80	69	17	427	231	101	42	75	156	568	158	953	44	128	173	6	55	134	194	226	135	8	325	19	21	235	478	0	32	82	52	167	242	19	28	0	230	10	35	159	27	31	15	43	9	7	175	40	21	67	66	18	82	7	6	46	114	53	56	249	279	29	32	9	21	19	15	0	0	0
Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus Methanoplasma;uncultured Methanomassiliicoccales archaeon	OTU_118	7	0	38	2	14	4	10	7	44	20	0	8	2	5	369	4	0	15	5	2	69	0	33	14	37	7	0	2	3	31	0	3	12	0	44	0	12	2	0	11	30	52	22	271	29	0	3	301	52	23	4	3	5	36	3	121	1	12	5	179	4	1	18	6	12	512	27	8	0	0	33	3	46	9	23	18	7	0	315	0	3	16	29	0	24	18	30	18	52	0	7	0	0	0	41	38	14	0	0	6	3	4	10	5	0	3	6	1	5	11	13	1	10	13	4	2	56	0	13	15	2	9	5	0	0	0
Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;uncultured;uncultured archaeon	OTU_345	5	6	2	14	0	4	19	10	35	12	2	79	1	1	112	4	0	0	5	2	15	11	20	37	82	7	0	1	1	18	0	3	0	11	28	0	3	15	1	7	24	16	86	164	5	0	3	47	106	19	9	25	15	40	14	134	11	25	6	148	9	8	3	7	29	124	50	60	7	3	36	7	49	7	48	28	4	2	78	2	2	69	57	2	44	4	23	44	82	8	4	0	8	4	32	58	2	19	1	5	1	6	34	0	0	7	23	17	8	57	12	7	18	24	0	21	30	0	10	10	3	0	6	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sp. SN15	OTU_230	1	0	11	0	2	9	0	7	15	21	0	0	1	0	3	14	1	1	0	10	13	0	0	2	2	21	3	0	0	1	0	0	5	0	47	5	140	0	0	9	0	22	8	23	7	0	0	13	0	4	8	0	0	0	0	0	0	0	13	0	71	3	0	5	0	9	1	0	0	7	1	0	0	1	0	14	1	0	1	0	0	0	0	199	0	6	1	0	1	2	3	2	0	0	0	0	2	6	9	3	4	2	0	0	4	0	5	1	0	5	3	2	3	0	0	0	0	8	0	1	2	1	0	0	0	0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;Raoultibacter;uncultured actinobacterium	OTU_87649	1	0	5	0	1	0	1	11	12	5	0	0	0	0	15	0	5	9	0	0	5	2	2	4	3	0	4	0	1	5	0	3	1	1	6	0	12	1	0	3	2	5	9	2	3	0	5	12	14	1	0	3	0	3	10	2	0	6	16	4	0	0	3	4	0	4	3	0	2	0	6	2	7	14	7	10	3	2	7	0	0	7	1	1	1	6	10	5	4	0	2	0	5	1	4	1	0	0	0	2	1	0	3	1	0	0	2	0	2	0	0	3	3	5	0	7	3	0	0	0	0	4	0	0	0	0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;Raoultibacter;uncultured bacterium	OTU_378	13	2	10	12	8	16	17	49	15	28	5	4	15	7	21	1	47	59	19	1	51	2	0	19	23	9	27	16	7	10	0	16	0	10	18	3	34	12	8	36	29	27	21	11	32	0	10	26	35	6	1	9	5	30	23	20	0	17	59	16	12	3	5	3	19	44	22	22	4	5	9	2	15	75	4	25	12	3	7	1	1	31	22	18	8	7	18	46	17	1	3	0	10	1	9	22	0	2	4	8	4	0	26	28	2	5	4	3	12	2	0	2	11	16	5	10	9	0	1	3	2	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;3M1PL1-52 termite group;uncultured bacterium;Other	OTU_26	1	0	0	0	0	0	5	5	0	0	1	0	10	0	1	1	0	0	1	0	2	1	13300	802	0	623	7	1	1	1	1	2	1	1	0	0	0	2	12	2	18	0	1773	0	1	0	0	0	37	1	0	1	0	0	0	1	0	0	1	2	1	0	0	0	1122	1	0	572	1	1	0	28748	22	17	0	368	0	0	0	0	0	6	0	0	1	0	0	1	2	1	2	0	2	1	0	1	1	0	0	0	0	0	0	1	1	1	13219	0	1	2792	277	1	2	1	0	0	0	0	5	22343	2	1	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;3M1PL1-52 termite group;uncultured Bacteroidales bacterium;Other	OTU_115846	42	3	0	0	11	2	5093	3	2	175	0	0	0	0	6	485	0	2	6	156	3	0	106	29	16	1	0	1	0	24	0	0	0	0	4	0	35	1	0	14	0	0	29	18	277	0	0	3	1	471	2	0	1	7	19	13	1	10	2	3	0	6	8	1	5	20	14	7	1	0	7	31	2	45	0	4	20	0	2	0	93	6	1	125	175	0	24	39	3	2	355	0	429	29	0	26	1	2	2	43	5	1	18	1	0	2	47	0	5	27	3	0	2	4	21	37	2	3	0	102	11701	112	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;3M1PL1-52 termite group;uncultured Bacteroidetes bacterium;Other	OTU_125158	4	1	0	0	3	0	90	1	0	119	0	0	0	0	0	2	0	0	6	0	0	0	6	19	12	0	0	0	0	7	0	0	1	1	3	0	0	0	0	3	0	0	2	19	13	0	0	1	4	140	0	3	0	1	0	2	0	7	0	10	0	7	0	2	11	8	3	4	0	1	1	11	11	10	0	9	12	0	3	0	4	6	2	0	9	0	4	1	3	0	13	0	7	4	15	6	0	0	14	53	0	0	12	3	0	0	2	0	3	0	0	2	0	6	34	4	1	0	0	11	74	2	0	0	0	0
